1,1,1,79.353,-10.899,45.643,40.7,65.581,-12.584,39.244
2,1,2,71.228,-27.778,67.002,37.2,59.380,-29.903,54.281
3,1,3,55.859,-8.634,78.224,40.9,44.131,-12.083,66.243
4,1,4,66.337,8.158,58.736,37.1,55.639,1.697,50.447
5,2,1,80.866,4.380,23.264,33.4,66.287,1.652,21.358
6,2,4,71.344,23.106,37.681,37.0,56.558,18.243,33.716
7,3,1,84.951,-28.595,27.436,34.3,70.241,-28.296,27.273
8,3,2,78.473,-47.501,47.691,40.3,66.074,-44.187,42.081
9,4,2,54.798,-47.767,82.138,40.4,41.616,-46.264,66.615
10,4,3,39.401,-28.293,93.506,39.2,31.895,-29.659,74.270
11,5,3,37.492,9.942,84.648,39.0,26.791,4.454,69.829
12,5,4,49.824,27.354,67.243,37.0,40.025,20.213,56.911
